The Company of Wolves;rdf:type;Movie
The Company of Wolves;dcterms:creator;Angela Carter
The Company of Wolves;dcterms:creator;Charles Perrault
The Company of Wolves;schema:director;Neil Jordan
The Company of Wolves;schema:genre;Drama,Fantasy,Horror
The Company of Wolves;schema:locationCreated;England
The Company of Wolves;schema:releaseDate;1984
The Company of Wolves;schema:duration;95 mins
The Company of Wolves;bibtex:hasLanguage;English
The Company of Wolves;schema:isBasedOn;The Company of Wolves
The Company of Wolves;schema:actor;Sarah Patterson
The Company of Wolves;schema:productionCompany;ITC Entertainment
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
